PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Amir Johnson,PHI,31,14,8,6,10.8,97.7,105.5,-7.8,17.6,1.06,21.2,7.1,20.9,14.4,20,66.7,70.1,17.2,113.44,10.6
Ben Simmons,PHI,22,13,8,5,32.3,101.1,105.5,-4.4,40.6,2.24,31.2,6.7,19.3,13.3,13.9,52.7,55.5,21.4,105.79,16
Dario Saric,PHI,24,13,8,5,30.5,103.3,106.3,-3,9.7,1.04,13.2,5,13.8,9.7,12.7,44.3,49.6,17.5,105.49,6.6
Furkan Korkmaz,PHI,21,7,3,4,7.5,97.4,98.3,-0.9,5.4,1,10,2,11.9,7.8,10,56.7,56.7,14.2,106.6,8.5
JJ Redick,PHI,34,14,8,6,31.2,105.1,100.9,4.1,17.4,2.04,16.7,1.1,5.7,3.6,8.2,50.8,56.2,21.6,106.48,10.4
Joel Embiid,PHI,24,14,8,6,35,105.6,100.5,5.2,18.6,1.14,11.8,5.9,26,16.7,10.4,51.1,59,31,105.92,19.9
Jonah Bolden,PHI,22,6,3,3,6.7,105.5,84,21.5,6.5,1,12.5,0,17.3,9.6,12.5,40.9,42.1,13.9,109.95,5.8
Landry Shamet,PHI,21,14,8,6,21.5,100.2,106.9,-6.7,7.9,2,13.4,1,3.8,2.4,6.7,50,52.5,14,104.74,4.8
Markelle Fultz,PHI,20,14,8,6,24.3,102.5,101.7,0.8,21,2.53,23,5.5,8.7,7.2,9.1,43.8,46,19.1,106.15,7.5
Mike Muscala,PHI,27,8,4,4,20.6,101.1,106.1,-5,9.4,0.83,14.9,4.6,11.8,8.4,17.9,55,63.3,13.7,110.42,7
Robert Covington,PHI,27,13,8,5,33.8,106.7,105.7,1,4.5,0.64,8.6,1.5,11.5,6.8,13.6,55.6,57.8,13.5,105.39,7
T.J. McConnell,PHI,26,11,5,6,14.7,98.8,106.6,-7.7,31.4,2.91,38.6,0.6,9.5,5.5,13.3,60.5,62.9,13.3,103.43,11.8
Wilson Chandler,PHI,31,3,3,0,13.5,104.3,106.5,-2.1,7.1,1,16.7,7.7,23.4,16.3,16.7,71.4,63.5,9.9,109.36,8.1
Jimmy Butler,PHI,29,10,3,7,36.1,104.5,112.6,-8.1,19.8,3.07,17.8,3.9,9.8,6.7,5.8,52.5,57.9,22.3,102.38,13.8
