Rk,Lineup,Man,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,R. Covington | J. Embiid | J. Redick | D. Saric | B. Simmons,5,105:43:00,-1.3,-7.5,0.019,1.1,-1.4,0.041,0.029,4,6.4,-0.046,2.4,1.6,5.7,7.3,5.7,4.6,9.3,4.1,-3.8,-1.9,5.8,-1.9
2,R. Covington | J. Embiid | M. Fultz | D. Saric | B. Simmons,5,64:39:00,5.5,-0.8,0.064,-10.4,-17.8,-0.132,0.008,1.6,3.9,-0.078,2.3,0.8,3.6,4.2,3.6,2.6,5.5,-0.6,0.7,-1.5,-2.1,-3.7
3,J. Butler | W. Chandler | J. Embiid | J. Redick | B. Simmons,5,38:43:00,7.7,-4.1,0.108,0.3,-13.5,0.185,0.112,14.7,18.8,0.064,30.3,4.1,17.9,18.6,17.9,11.7,27.3,8.5,-2.8,2.5,4.3,-6.5
4,R. Covington | A. Johnson | J. Redick | D. Saric | B. Simmons,5,22:07,-4.8,-9.8,-0.005,11.9,7.5,0.317,0.07,1.7,1.6,0.011,4,-0.3,1.4,2.7,1.4,1,2.2,-6.6,-5.8,4.2,3.6,4
5,J. Butler | J. Embiid | M. Muscala | J. Redick | B. Simmons,5,19:49,-1.1,-6.9,0.029,7,-5.7,0.224,0.075,-0.3,-5.2,0.208,4.5,2.3,6.5,5.7,6.5,3.6,8.6,4.2,-7.1,4.9,6.9,6
6,J. Butler | J. Embiid | M. Muscala | L. Shamet | B. Simmons,5,16:48,-7.7,0,-0.077,-6.8,2.4,-0.264,-0.111,5.7,18.4,-0.178,-16.6,2.9,3.5,-1.9,3.5,0,0,-0.8,0.1,0.3,-3.7,-13.1
7,R. Covington | A. Johnson | D. Saric | L. Shamet | B. Simmons,5,16:48,-21.4,-30.4,-0.087,1.9,0.5,0.064,-0.059,14.4,10.9,0.317,-26.4,7.1,13,0.1,13,2.6,5.9,-9.5,-7.1,8.3,19.6,3.9
8,J. Butler | A. Johnson | M. Muscala | L. Shamet | B. Simmons,5,15:50,-7.1,-5.2,-0.053,8.4,5,0.25,0.004,-26.9,-32.9,0.01,-32.6,2.8,7.1,0.9,7.1,1.4,4,-0.8,-8.5,-2.9,17,8.7
9,J. Embiid | M. Fultz | J. Redick | L. Shamet | B. Simmons,5,15:33,-11.8,-29.4,0.034,0,8.8,-0.068,0.046,8.8,8.8,0,-14.7,-14.7,-26.2,2.9,-26.2,-5.9,-14.3,0,0,5.9,11.8,2.9
10,J. Butler | W. Chandler | J. Embiid | L. Shamet | B. Simmons,5,11:58,-3.8,-1.4,-0.035,-31.3,-26.6,-0.409,-0.221,18.4,27.8,0.036,-20.5,-3.3,-12.5,-6.1,-12.5,-4.2,-12.5,-0.9,7.7,-4.3,-7,-8.3
Rk,Lineup,Man,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,R. Covington | J. Embiid | J. Redick | D. Saric | B. Simmons,5,105:43:00,-1.3,-7.5,0.019,1.1,-1.4,0.041,0.029,4,6.4,-0.046,2.4,1.6,5.7,7.3,5.7,4.6,9.3,4.1,-3.8,-1.9,5.8,-1.9
2,R. Covington | J. Embiid | M. Fultz | D. Saric | B. Simmons,5,64:39:00,5.5,-0.8,0.064,-10.4,-17.8,-0.132,0.008,1.6,3.9,-0.078,2.3,0.8,3.6,4.2,3.6,2.6,5.5,-0.6,0.7,-1.5,-2.1,-3.7
3,J. Butler | W. Chandler | J. Embiid | J. Redick | B. Simmons,5,38:43:00,7.7,-4.1,0.108,0.3,-13.5,0.185,0.112,14.7,18.8,0.064,30.3,4.1,17.9,18.6,17.9,11.7,27.3,8.5,-2.8,2.5,4.3,-6.5
4,J. Embiid | M. Fultz | M. Muscala | J. Redick | L. Shamet,5,31:09:00,7.1,7.1,0.052,4.3,7.1,0.06,0.072,-11.4,-12.9,-0.04,7.1,12.9,29,10,29,11.4,26.7,-2.9,-7.1,-10,14.3,3.6
5,R. Covington | J. Embiid | M. Fultz | J. Redick | D. Saric,5,22:35,-3.3,-3.1,-0.017,0.9,3.8,-0.038,-0.01,10.7,5.8,0.257,4.9,3.6,10.5,7.8,10.5,4.2,10.5,-0.7,2.7,2.7,-3.3,1.1
6,J. Embiid | M. Fultz | F. Korkmaz | M. Muscala | J. Redick,5,22:30,9.5,-5.6,0.147,7.9,5.6,0.247,0.201,17.6,17.5,0.126,44.6,1.9,7.1,10.9,7.1,6.1,14.3,7.8,-1.9,0,-4.3,-6.1
