PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS-2PT,%PTS-MR2,%PTS-3PT,%PTS-FBPS,%PTS-FT,%PTS-OFFTO,%PTS-PITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Markelle Fultz,PHI,20,14,8,6,24.3,89.8,10.2,76.9,13.8,9.2,16.9,13.8,11.5,63.1,30,70,50,50,31.5,68.5
JJ Redick,PHI,34,14,8,6,31.2,40.3,59.7,31.1,23,50.4,11.9,18.4,12.3,8.2,89.5,10.5,90.2,9.8,89.9,10.1
Joel Embiid,PHI,24,14,8,6,35,77.7,22.3,57.2,11.9,12.4,5.9,30.4,14.2,45.4,48.6,51.4,93.8,6.3,54.3,45.7
Amir Johnson,PHI,31,14,8,6,10.8,90.5,9.5,71.4,0,8.6,5.7,20,11.4,71.4,72,28,100,0,74.1,25.9
Ben Simmons,PHI,22,13,8,5,32.3,100,0,80,2.1,0,21,20,13.8,77.9,43.6,56.4,0,0,43.6,56.4
Dario Saric,PHI,24,13,8,5,30.5,47,53,37.5,6.9,43.8,14.6,18.8,14.6,30.6,81.5,18.5,100,0,89.6,10.4
Furkan Korkmaz,PHI,21,7,3,4,7.5,26.7,73.3,44.4,11.1,50,27.8,5.6,33.3,33.3,75,25,100,0,85.7,14.3
Jonah Bolden,PHI,22,6,3,3,6.7,36.4,63.6,60,0,30,30,10,0,60,100,0,100,0,100,0
Landry Shamet,PHI,21,14,8,6,21.5,24.2,75.8,21.6,5.9,67.6,14.7,10.8,13.7,15.7,90.9,9.1,100,0,97.1,2.9
Mike Muscala,PHI,27,8,4,4,20.6,27.5,72.5,23.7,6.8,50.8,10.2,25.4,16.9,16.9,57.1,42.9,100,0,82.4,17.6
Robert Covington,PHI,27,13,8,5,33.8,34.2,65.8,27.2,4.1,61.2,32.7,11.6,21.1,23.1,90,10,100,0,96,4
T.J. McConnell,PHI,26,11,5,6,14.7,94.7,5.3,92,40,0,16,8,4,52,26.1,73.9,0,0,26.1,73.9
Wilson Chandler,PHI,31,3,3,0,13.5,28.6,71.4,40,0,60,20,0,0,40,50,50,100,0,75,25
Jimmy Butler,PHI,29,10,3,7,36.1,71.3,28.7,53.5,8.5,23.9,16,22.5,13.6,45.1,33.3,66.7,52.9,47.1,37.8,62.2
